1,Corporation America,2022,34978,Hospital,Code Injections Attack
2,Investment,2019,124614,Burget Franchaise,Code Injections Attack
3,Company Advance,2019,285270,Small Business,Insider Attack
4,"Inc. ALLETE,",2018,180880,School,51% Attack
5,Inc Valero,2015,63275,Goverment,Zero-Day Exploit Attack
6,Inc. Alcoa,2017,242934,Orphanage,DNS Tunneling Attack
7,International,2023,314671,Hardware Store,DDoS Attack
8,Corporation Verizon,2011,298840,Small Business,Drive-by Attack
9,Inc Wells,2021,502875,Pizzaria,Malware
10,Grocers,2015,533670,Kindergarden,Insider Attack
11,Hardware,2016,794112,Small Business,Man In The Middle Attack
12,Inc Weyerhauser,2010,12408,Sandwitch Shop,Cryptojacking Attack
13,"Company,",2017,1069562,Pizzaria,SQL Injection Attack
14,Inc. TruServ,2016,223580,Train Station,DoS Attack
15,Micro,2021,138780,Orphanage,Identity-Based Attack
16,"Group,",2013,96704,Kindergarden,Cryptojacking Attack
17,Management,2010,1627495,Hospital,SQL Injection Attack
18,"Stores,",2010,1096866,Non-Profit,Insider Attack
19,Inc. American,2018,1449415,Burget Franchaise,Insider Attack
20,Incorporated Unitrin,2022,1768920,Kindergarden,Code Injections Attack
21,Incorporated Ace,2019,1400490,Hospital,Supply chain Attack
22,Grace,2022,676918,Supermarket,Drive-by Attack
23,Inc TXU,2022,1894878,Kindergarden,Malware
24,Inc USA,2014,641448,Sandwitch Shop,Drive-by Attack
25,Gas,2011,136425,Bank,Identity-Based Attack
26,"Group,",2021,1535976,School,DoS Attack
27,Service,2022,426465,Small Business,Supply chain Attack
28,Inc US,2017,1577408,Train Station,Code Injections Attack
29,Co W.W.,2011,1977075,Train Station,Business Email Compromise Attack
30,Co W.W.,2013,1432470,Bank,Supply chain Attack
31,Financial,2011,788733,Non-Profit,DDoS Attack
32,Inc. TruServ,2014,2339456,Bank,Cryptojacking Attack
33,Inc United,2016,1333200,Goverment,Insider Attack
34,Intertechnology,2018,538832,Hardware Store,Phishing
35,Inc Walt,2017,76335,Supermarket,Malware
36,Coors,2022,871452,Train Station,Business Email Compromise Attack
37,Inc Unocal,2013,1063306,Goverment,DoS Attack
38,"Chemicals,",2014,2785552,Goverment,Cryptojacking Attack
