10,Corp Viasystems,2020,303530,Supermarket,Insider Attack
100,Corp 3M,2013,1201700,Hardware Store,Man In The Middle Attack
1000,Berkley,2019,90666000,Hospital,Spoofing
10000,Financial,2011,220190000,Kindergarden,DoS Attack
10001,Corporation Valspar,2020,584908485,Bank,DoS Attack
1001,Group,2015,79859780,School,Worm VirusDDoS Attack
1002,Corporation USG,2019,82375422,Hospital,Phishing
1003,Inc. Advanced,2023,5153414,Government,Cross-site Scripting Attack
1004,Coors,2016,73373324,Hardware Store,SQL Injection Attack
1005,Company A.G.,2018,92425830,Small Business,Zero-Day Exploit Attack
1006,Inc UnumProvident,2012,25133904,Orphanage,Cross-site Scripting Attack
1007,Inc TXU,2011,36749458,Orphanage,DoS Attack
1008,Inc. AFLAC,2022,47200608,Supermarket,Identity-Based Attack
"1009,""Inc. ALLETE,"",2013,56468685,Burget Franchaise,51% Attack"
101,Communications,2022,7292301,Burget Franchaise,Zero-Day Exploit Attack
"1010,""Inc. Airborne,"",2016,6146860,Shooting Range,Phishing"
1011,Company W.R.,2012,53165457,Non-Profit,Insider Attack
1012,Inc United,2011,23156584,School,Supply chain Attack
"1013,""Services,"",2018,36025319,Train Station,Drive-by Attack"
1014,Auto,2022,30736368,Kindergarden,Drive-by Attack
1015,Inc. Amkor,2022,65086875,Pizzeria,SQL Injection Attack
1016,Corporation Valspar,2012,52995576,Burget Franchaise,51% Attack
1017,Inc. AK,2019,56453670,Train Station,Supply chain Attack
1018,Corporation USG,2022,77779272,School,DoS Attack
1019,Post,2018,38785178,Bank,Insider Attack
102,Companies,2020,910044,School,Drive-by Attack
1020,Inc. AMC,2016,61075560,Orphanage,Drive-by Attack
1021,Corporation US,2023,77852271,Kindergarden,DNS Tunneling Attack
"1022,""Company,"",2023,88914000,Non-Profit,Spoofing"
1023,Corporation UnitedHealth,2023,65663301,Shooting Range,Cryptojacking Attack
1024,Companies,2019,6464512,Burget Franchaise,DNS Tunneling Attack
1025,Company WGL,2012,87460175,Non-Profit,51% Attack
1026,Stores,2022,29500578,Bank,Cryptojacking Attack
"1027,""Group,"",2023,69659356,School,Worm VirusDDoS Attack"
1028,Enterprises,2011,84714396,Supermarket,SQL Injection Attack
1029,Inc. Allmerica,2019,10792152,Train Station,Supply chain Attack
103,Health,2020,7005957,Orphanage,Supply chain Attack
1030,Express,2019,55143110,Hardware Store,Identity-Based Attack
1031,Inc. American,2020,70572981,Sandwitch Shop,DoS Attack
"1032,""Incorporated Allergan,"",2016,80197752,Train Station,Supply chain Attack"
1033,Restaurant,2013,102460171,School,Cross-site Scripting Attack
1034,Service,2022,41184220,Kindergarden,Zero-Day Exploit Attack
"1035,""Inc. Airborne,"",2016,63922635,Non-Profit,Supply chain Attack"
1036,Services,2010,13690740,Hospital,Worm VirusDDoS Attack
1037,Inc. Affiliated,2011,31666869,Supermarket,Man In The Middle Attack
"1038,""Group,"",2011,72397386,Burget Franchaise,Supply chain Attack"
1039,Inc Walt,2022,92485546,Small Business,Worm VirusDDoS Attack
104,Materials,2019,10114104,Bank,SQL Injection Attack
1040,Berkley,2016,37926720,Non-Profit,Supply chain Attack
1041,Company Albertson,2018,86537289,Bank,Identity-Based Attack
1042,Inc. Adobe,2013,11338002,Hospital,Spoofing
"1043,""Group,"",2016,49994119,Supermarket,Identity-Based Attack"
"1044,""Stores,"",2018,70245540,Orphanage,Code Injections Attack"
1045,Eagle,2011,52991950,Sandwitch Shop,Business Email Compromise Attack
"1046,""Holdings,"",2013,77880976,Small Business,Identity-Based Attack"
1047,Group,2022,3782811,Non-Profit,Code Injections Attack
1048,Eagle,2010,93395664,Government,Zero-Day Exploit Attack
1049,Inc WESCO,2014,28246423,Non-Profit,Insider Attack
105,Co Wallace,2016,3051300,Train Station,Man In The Middle Attack
"1050,""Telecommunications,"",2013,53928000,Kindergarden,Malware"
1051,Eagle,2013,45704837,Supermarket,Malware
1052,Inc. Alcoa,2013,1417044,Hardware Store,Man In The Middle Attack
1053,Inc Universal,2018,57436938,Supermarket,Cross-site Scripting Attack
1054,Inc. American,2016,62128030,School,Cross-site Scripting Attack
1055,Management,2023,103753975,Sandwitch Shop,DoS Attack
1056,&,2017,41835552,Burget Franchaise,DoS Attack
1057,Computer,2016,6841961,Government,Drive-by Attack
1058,Corp Tyson,2021,41641822,Small Business,Spoofing
1059,Company Advance,2010,45275427,Non-Profit,Cross-site Scripting Attack
106,Co Wallace,2021,4693150,Shooting Range,Malware
1060,Power,2010,91005240,Supermarket,Identity-Based Attack
1061,Inc WestPoint,2013,65654680,Supermarket,Cross-site Scripting Attack
1062,Inc. American,2010,60050790,Hospital,SQL Injection Attack
1063,Inc. American,2014,35296915,Pizzeria,Phishing
1064,Greetings,2019,67237352,Hardware Store,Spoofing
1065,Berkley,2012,58239525,Supermarket,Man In The Middle Attack
1066,Company WGL,2016,26425074,Pizzeria,Code Injections Attack
1067,Axle,2022,2960925,Train Station,Man In The Middle Attack
1068,Inc Universal,2015,40010484,Sandwitch Shop,DoS Attack
"1069,""Telecommunications,"",2011,51815499,School,Zero-Day Exploit Attack"
107,Standard,2020,2412315,Small Business,51% Attack
1070,Stevens,2012,93337170,Bank,Worm VirusDDoS Attack
1071,Inc Wells,2022,54149760,Burget Franchaise,Business Email Compromise Attack
1072,Grace,2011,43458880,Kindergarden,Worm VirusDDoS Attack
1073,Inc UnumProvident,2020,59612661,Train Station,Business Email Compromise Attack
1074,Services,2019,18952878,Supermarket,Drive-by Attack
1075,Inc. American,2014,104525475,Small Business,Malware
1076,Inc Valero,2015,67849332,Burget Franchaise,Worm VirusDDoS Attack
"1077,""Group,"",2017,8542764,Government,Drive-by Attack"
1078,Communications,2013,49016660,Sandwitch Shop,Zero-Day Exploit Attack
1079,Corporation USG,2013,51565410,Hospital,Cross-site Scripting Attack
108,Parcel,2014,8809236,Hospital,Phishing
1080,Financial,2021,64343160,Orphanage,Supply chain Attack
1081,Holdings,2020,74105793,Hospital,Supply chain Attack
1082,Corporation Unova,2012,20846894,Supermarket,Malware
1083,Corporation UST,2012,31493640,Non-Profit,Cryptojacking Attack
1084,Corporation Unova,2023,64884988,Small Business,Zero-Day Exploit Attack
1085,Corporation Amerada,2014,89146855,Small Business,Code Injections Attack
1086,Stores,2015,82658718,Bank,Spoofing
1087,Intertechnology,2019,73815996,Local Shop,DNS Tunneling Attack
1088,International,2020,38762176,Government,DNS Tunneling Attack
1089,International,2019,93325122,Non-Profit,Business Email Compromise Attack
109,Water,2023,9775338,Government,Man In The Middle Attack
1090,Allstate,2010,57185760,Small Business,Cryptojacking Attack
1091,Express,2022,35896082,School,Man In The Middle Attack
1092,Rentals,2011,64840776,Supermarket,Identity-Based Attack
1093,Gas,2023,77525397,Sandwitch Shop,Insider Attack
1094,Incorporated AGCO,2019,99212672,Train Station,DNS Tunneling Attack
1095,Energy,2014,21076560,Local Shop,DNS Tunneling Attack
1096,Corporation Amerada,2023,32588464,Shooting Range,Phishing
1097,Incorporated Ace,2019,47994847,Bank,Spoofing
1098,Services,2011,31611420,Pizzeria,Man In The Middle Attack
1099,Inc Walt,2015,64226659,Sandwitch Shop,Man In The Middle Attack
11,Industries,2014,783310,Orphanage,Drive-by Attack
110,Inc Weatherford,2011,6732110,Pizzeria,Worm VirusDDoS Attack
1100,International,2019,38784900,Orphanage,Phishing
1101,Mutual,2013,35281545,Pizzeria,Malware
1102,Western,2020,9095908,Hospital,Drive-by Attack
1103,Defense,2014,57318498,Government,Identity-Based Attack
1104,Inc. AFLAC,2020,88335456,Pizzeria,Identity-Based Attack
1105,Inc. Apartment,2018,45208865,Supermarket,Man In The Middle Attack
1106,Inc. American,2018,51010932,Shooting Range,Cryptojacking Attack
1107,Corporation UST,2012,97970607,Kindergarden,Spoofing
1108,Information,2020,105924800,Non-Profit,Spoofing
1109,Inc USA,2015,101886048,Hardware Store,Worm VirusDDoS Attack
111,Materials,2011,2092572,Government,Zero-Day Exploit Attack
1110,Inc. Alliant,2012,35178120,Shooting Range,Phishing
1111,Company Air,2016,55080047,Train Station,Business Email Compromise Attack
1112,Incorporated AGCO,2012,101651256,Local Shop,Identity-Based Attack
1113,Air,2023,37985577,Supermarket,Phishing
1114,Corp. Adams,2010,34234334,Train Station,Cross-site Scripting Attack
1115,Laboratories Abercrombie,2011,88115105,Burget Franchaise,Phishing
"1116,""Devices,"",2017,105431868,Bank,Insider Attack"
"1117,""Inc. Airgas,"",2020,28558339,Government,DNS Tunneling Attack"
1118,Inc Watsco,2015,66380132,Hospital,SQL Injection Attack
1119,Corp Viasystems,2021,111743340,Burget Franchaise,Supply chain Attack
112,Industries,2015,2392544,Pizzeria,Cryptojacking Attack
1120,Corp Unisource,2021,30971360,School,Cryptojacking Attack
1121,Investment,2018,107841321,Sandwitch Shop,51% Attack
"1122,""Group,"",2011,63949512,Shooting Range,Insider Attack"
1123,Inc. Advanced,2011,50164410,Pizzeria,Spoofing
1124,Micro,2023,9452840,Shooting Range,51% Attack
1125,Corporation USG,2018,39013875,Kindergarden,Code Injections Attack
1126,Inc. American,2014,109907734,Train Station,Drive-by Attack
1127,Corporation ACT,2012,71594929,Small Business,Identity-Based Attack
1128,Energy,2010,102617544,Train Station,Cryptojacking Attack
1129,Services,2012,89734049,Train Station,Code Injections Attack
113,Conversion,2017,777666,Supermarket,51% Attack
1130,Corporation America,2010,100116870,Shooting Range,DoS Attack
1131,Markets,2019,81715881,Train Station,51% Attack
1132,Inc. Alcoa,2010,29508976,Government,Business Email Compromise Attack
"1133,""Inc. Airgas,"",2010,96854505,Supermarket,Man In The Middle Attack"
1134,Micro,2018,76260366,Shooting Range,Business Email Compromise Attack
1135,Power,2011,13319225,Hardware Store,51% Attack
1136,Inc UnumProvident,2022,65763040,Train Station,Zero-Day Exploit Attack
1137,Disney,2016,35964447,Kindergarden,Man In The Middle Attack
1138,Inc Union,2018,103832258,Train Station,Zero-Day Exploit Attack
"1139,""Industries,"",2012,11728283,Hospital,Supply chain Attack"
114,Post,2012,8985708,Hardware Store,Malware
1140,Defense,2011,45638760,Hospital,Code Injections Attack
1141,Corporation Union,2018,25354161,Local Shop,Worm VirusDDoS Attack
1142,&,2014,68259624,Supermarket,Cross-site Scripting Attack
1143,Inc. American,2023,92389833,Supermarket,Malware
"1144,""Parts,"",2020,32585696,Shooting Range,Drive-by Attack"
1145,Corporation USG,2011,94212890,Burget Franchaise,Drive-by Attack
1146,International,2023,93262626,Hospital,DoS Attack
1147,Corporation Amerada,2018,34961707,Pizzeria,Cross-site Scripting Attack
1148,Inc Wachovia,2020,114231740,Local Shop,Cryptojacking Attack
1149,Fitch,2021,76779627,Small Business,Business Email Compromise Attack
115,Inc Wachovia,2012,11168685,Train Station,Worm VirusDDoS Attack
1150,Corp Unisys,2014,59437750,Pizzeria,Business Email Compromise Attack
1151,Company WGL,2011,91814119,Shooting Range,51% Attack
1152,Co Wallace,2013,11187072,Bank,Insider Attack
1153,Co Walter,2015,69783019,Hardware Store,Cryptojacking Attack
1154,Company American,2011,84458952,Burget Franchaise,Code Injections Attack
1155,Enterprises,2018,41384805,Burget Franchaise,Cryptojacking Attack
1156,Inc Wal-Mart,2021,10286088,Local Shop,Business Email Compromise Attack
1157,Enterprises,2013,42622723,Hospital,Cross-site Scripting Attack
1158,International,2021,104358960,Pizzeria,Supply chain Attack
1159,Services,2022,55677201,Supermarket,Malware
116,Health,2018,2067120,Hospital,51% Attack
1160,Technologies,2020,1943000,Local Shop,Identity-Based Attack
1161,Inc. ADC,2017,53669547,Train Station,Worm VirusDDoS Attack
1162,International,2014,87167430,Bank,Identity-Based Attack
1163,Products,2019,92969057,Non-Profit,Drive-by Attack
1164,Inc. UAL,2022,18731088,Sandwitch Shop,Supply chain Attack
1165,Airways,2016,46072255,School,Man In The Middle Attack
1166,Inc. AmerisourceBergen,2019,108018240,Hospital,Identity-Based Attack
1167,Gas,2019,32848716,Supermarket,51% Attack
1168,Corporation Veritas,2017,14888496,Sandwitch Shop,SQL Injection Attack
1169,Inc VF,2013,24850602,Small Business,Cross-site Scripting Attack
117,Inc. United,2010,4916223,Sandwitch Shop,51% Attack
1170,Works,2011,42035760,Sandwitch Shop,Spoofing
1171,Corporation Veritas,2021,85424450,Train Station,Supply chain Attack
1172,Companies,2013,27326352,Shooting Range,Malware
1173,Planters,2012,55621314,Kindergarden,SQL Injection Attack
1174,Co Walter,2015,46267340,Bank,SQL Injection Attack
1175,Inc UnumProvident,2017,73852275,Shooting Range,DoS Attack
1176,Company Albertson,2010,102784752,Government,Business Email Compromise Attack
1177,Company WGL,2017,85211269,Train Station,Worm VirusDDoS Attack
1178,Inc. Alliant,2016,37269564,Sandwitch Shop,51% Attack
1179,Group,2013,15769125,Supermarket,Phishing
118,Corporation USG,2010,5261384,Burget Franchaise,Code Injections Attack
1180,Standard,2014,84449060,Government,Supply chain Attack
1181,Inc. AK,2018,108629561,Burget Franchaise,Code Injections Attack
1182,Inc Viad,2017,22554924,Orphanage,Cross-site Scripting Attack
1183,Enterprises,2020,113734803,Hardware Store,Malware
1184,Inc Visteon,2023,24660352,Small Business,Supply chain Attack
1185,Information,2021,12461460,Hardware Store,Cross-site Scripting Attack
1186,Inc. UAL,2013,12167174,Government,Cross-site Scripting Attack
1187,Inc Werner,2023,99373266,Orphanage,DNS Tunneling Attack
"1188,""Devices,"",2011,62139528,Kindergarden,DoS Attack"
1189,Parcel,2023,19674383,Pizzeria,Cryptojacking Attack
119,Inc. Amgen,2019,9131703,School,DNS Tunneling Attack
1190,Department,2016,97372940,Shooting Range,Supply chain Attack
1191,Inc. The,2021,12873519,Shooting Range,51% Attack
1192,Grace,2021,32622656,Hospital,SQL Injection Attack
"1193,""Company,"",2017,28538946,School,SQL Injection Attack"
1194,Inc Washington,2016,8959776,Hardware Store,DNS Tunneling Attack
1195,Inc. American,2015,77482605,Supermarket,Code Injections Attack
1196,Inc Universal,2010,723580,Train Station,Man In The Middle Attack
1197,Inc. AFLAC,2021,91153944,Hospital,SQL Injection Attack
1198,Corporation UnitedHealth,2017,114063976,Burget Franchaise,Malware
1199,Corporation American,2011,46681866,Local Shop,Drive-by Attack
"12,""Group,"",2012,1005600,Kindergarden,Zero-Day Exploit Attack"
"120,""Energy,"",2014,5002320,Small Business,Identity-Based Attack"
1200,Hardware,2010,27241200,Hospital,SQL Injection Attack
"1201,""Outfitters,"",2016,62387146,Government,Malware"
1202,Company American,2014,26065370,Non-Profit,Insider Attack
1203,Grocers,2021,57218289,Burget Franchaise,Insider Attack
1204,Express,2023,24105284,Hardware Store,Supply chain Attack
1205,Edwards,2021,99228135,Pizzeria,Worm VirusDDoS Attack
1206,Corporation Amerada,2012,81103500,Non-Profit,SQL Injection Attack
1207,Inc. AK,2021,35127321,Burget Franchaise,Zero-Day Exploit Attack
1208,Inc Universal,2022,21336904,Sandwitch Shop,Supply chain Attack
1209,Management,2018,54961140,Government,Phishing
121,Inc Vishay,2017,10260800,Hospital,Spoofing
1210,Defense,2020,96872600,Pizzeria,Business Email Compromise Attack
1211,Corporation United,2014,27903862,Non-Profit,Cryptojacking Attack
1212,Company Advance,2020,23089812,Pizzeria,Insider Attack
1213,Manufacturing,2021,113285709,Hardware Store,Drive-by Attack
1214,Inc. ADC,2018,55034262,Burget Franchaise,Malware
1215,Energy,2023,84669705,Kindergarden,Zero-Day Exploit Attack
1216,Corporation Veritas,2017,93330432,Orphanage,Drive-by Attack
1217,Oncology,2018,93939013,Non-Profit,Code Injections Attack
1218,Inc Universal,2015,31653384,Bank,Worm VirusDDoS Attack
1219,Corporation Valspar,2018,41333852,Orphanage,DoS Attack
122,International,2018,10463086,Local Shop,Drive-by Attack
1220,Inc United,2017,102675200,Burget Franchaise,Spoofing
1221,Communications,2021,55350372,Local Shop,Cross-site Scripting Attack
1222,Corporation Valspar,2020,70054816,Orphanage,Supply chain Attack
1223,Companies,2021,240931,Small Business,Zero-Day Exploit Attack
1224,Alpine,2016,8320752,Bank,Cross-site Scripting Attack
1225,Inc Valero,2023,98291550,Hardware Store,Identity-Based Attack
1226,Stores,2020,89599758,School,Zero-Day Exploit Attack
1227,Services,2016,40920450,Orphanage,Identity-Based Attack
1228,Steel,2011,80979232,Orphanage,Supply chain Attack
1229,West,2010,28934347,Shooting Range,DoS Attack
123,Corporation Wakenhut,2012,9563619,Burget Franchaise,Phishing
1230,Inc. Allegheny,2021,34626960,Non-Profit,Malware
1231,Post,2010,111676320,Burget Franchaise,Supply chain Attack
1232,&,2012,51312800,Non-Profit,Code Injections Attack
1233,Fargo,2021,113591358,Burget Franchaise,Worm VirusDDoS Attack
1234,Planters,2023,36506656,Hospital,51% Attack
1235,Department,2021,84367790,Train Station,Spoofing
1236,Information,2011,38408700,Small Business,Zero-Day Exploit Attack
1237,Company Wendy,2023,4066019,Small Business,Zero-Day Exploit Attack
1238,Materials,2014,100633306,Small Business,Cryptojacking Attack
1239,Holding,2018,112016751,Orphanage,Identity-Based Attack
124,Conversion,2018,2164172,Bank,DNS Tunneling Attack
1240,Corporation Volt,2014,98000920,School,Supply chain Attack
1241,Corporation TRW,2015,102435863,Non-Profit,Business Email Compromise Attack
1242,Inc United,2010,108672516,Government,DoS Attack
1243,Group,2021,74667010,Sandwitch Shop,Man In The Middle Attack
1244,Inc Weis,2022,93507748,Pizzeria,Cross-site Scripting Attack
"1245,""Group,"",2013,120199770,Bank,Code Injections Attack"
1246,Fargo,2020,95601842,Local Shop,Man In The Middle Attack
"1247,""Parts,"",2021,39098438,Train Station,Cryptojacking Attack"
1248,Incorporated AGCO,2011,88812672,School,Spoofing
1249,Inc. Wellpoint,2017,117349795,School,Cross-site Scripting Attack
125,Group,2012,5895000,Small Business,DNS Tunneling Attack
